5000 300000
1347 2015 -79
2893 4625 -3
802 3919 239
1294 1944 179
1106 3346 52
2422 4101 24
855 1627 72
584 4140 -95
1426 4653 78
3233 4426 -60
638 1045 36
1469 1820 30
1999 3989 215
2178 3418 106
1033 2175 -108
3704 4465 215
2998 3559 -3
2759 3891 113
2652 3538 -14
1089 3490 -26
313 2360 149
1661 2478 -131
572 3282 -40
1284 1869 208
2267 3551 160
432 4812 -142
209 1965 79
2005 3731 -132
1592 2150 58
1748 2218 219
270 3367 185
869 2117 63
1887 3465 -44
2405 4134 -116
2493 3309 -30
999 2894 196
1126 3383 14
3632 3748 -58
1238 2953 -24
1995 3535 55
4548 4979 -64
2561 4733 -85
1777 4259 -50
902 2185 -28
963 3669 -53
2715 3810 25
505 3236 15
1482 2814 -64
881 2168 -17
1417 1478 186
697 911 -138
2969 4137 61
930 4938 99
2429 4798 -6
2317 2522 -116
1664 1785 158
313 4936 192
827 3359 -137
3506 4554 244
453 2419 217
4808 4858 90
4801 4822 -78
489 4756 111
1677 3679 5
660 2100 140
1288 3487 197
2440 3669 178
3880 4469 -83
1565 3517 250
2010 3097 -33
2663 3201 165
442 2870 183
3832 4719 -113
764 3428 -83
3385 3435 -135
2355 2829 51
3058 4114 -144
2327 4554 106
1382 3382 147
1097 4393 -22
126 2893 49
1073 1732 -75
138 3525 18
1112 3021 -38
203 3720 -57
1208 4398 136
4482 4830 102
1028 1247 208
2887 3041 122
1878 4798 205
945 1206 -131
2425 4018 11
996 3399 125
2588 3318 -143
2175 4507 248
3192 4079 95
2347 2793 -91
3339 3846 45
2367 2634 76
515 2901 113
953 2202 -22
496 2000 -85
3717 4764 -131
517 2130 -102
1203 1491 122
2811 4481 169
204 3248 -90
3757 4984 102
142 4680 147
500 1111 92
3601 4288 63
2389 4581 194
1992 3994 37
461 4024 207
2251 2550 -62
1606 2916 37
952 4478 248
3236 3323 178
1997 2437 233
1846 4362 -66
941 1358 -16
1191 2095 63
3330 4772 -83
3308 4165 245
4374 4798 227
672 3934 -145
796 1703 -45
1167 2609 -10
3209 4995 -96
909 4200 -137
887 3003 -33
2988 3658 -62
265 4296 126
140 734 56
2782 2996 -31
22 1015 138
2189 2755 -86
1831 2280 69
883 1207 70
121 225 65
1761 2897 -113
3539 4270 -126
4262 4405 127
3638 3977 -10
1913 4565 61
109 2401 123
3904 4828 -33
1371 2966 -32
1688 3194 -59
725 4815 131
4342 4917 123
4341 4972 86
342 3926 92
265 3941 -146
1208 3468 -79
1036 4257 -29
3730 4493 205
935 4116 48
1002 4367 185
1729 3781 13
734 4377 170
3643 4603 216
1265 1271 208
1500 3159 -89
827 4048 214
8 998 -36
323 1438 115
2646 3867 -127
655 3612 -131
1722 2029 139
992 3402 200
1886 1998 197
1113 2193 127
1903 2984 -68
519 3964 14
481 1171 -67
563 2416 176
586 1098 192
2261 3714 151
391 3289 4
3304 3307 238
396 520 -126
3393 4467 140
4072 4643 -120
4642 4878 -132
2441 4935 -127
1362 3373 170
2688 4003 -67
1198 3622 191
2619 3179 -114
2456 3101 205
597 3764 119
2622 4020 226
1782 3081 -25
1559 1976 -67
561 1171 60
758 3159 15
3185 4964 174
1515 4307 -43
2337 4715 180
2600 4217 -111
1655 4595 82
3722 4789 29
3296 4985 -1
1646 3001 95
623 4854 92
260 2362 -13
2185 3926 -146
229 1797 182
1097 3034 200
991 2459 -133
959 2529 -133
897 1119 105
2008 2138 105
13 332 -100
638 1163 -17
1376 2314 223
383 4625 -89
3261 4560 -127
2183 4888 0
63 4991 193
1 3504 -32
2080 4321 228
22 322 15
868 4598 97
674 1808 -91
666 1519 -34
408 2103 205
1707 2450 -81
115 991 106
2916 4123 182
1164 2442 -130
1607 3333 189
2468 3737 -141
1802 2744 -17
654 3931 -133
2466 2636 17
1902 3636 242
2313 4263 80
3775 4835 196
1307 4506 -24
86 3589 106
1412 3865 78
1531 2673 103
3067 4475 -18
1894 4783 -75
2768 3486 -146
429 4150 238
670 2449 -16
1442 4564 195
2482 2725 191
575 1107 203
1751 3450 -16
815 4184 -6
1798 2657 -100
2279 3129 226
1136 3489 228
897 1432 213
3280 3574 229
3391 4192 -125
510 1288 105
381 3860 20
668 4035 243
3675 4731 5
78 2535 -145
2617 3711 244
679 2520 134
3566 4940 103
1324 3169 -49
353 3511 144
29 262 76
170 1271 41
213 4072 -38
406 4193 202
1428 2139 -89
2836 3034 -90
1278 4303 115
304 3638 51
2819 4041 -111
1295 2876 167
4087 4260 -2
1491 2810 44
1833 2443 235
1972 4913 -71
1989 3077 -134
1058 2648 32
2506 4673 150
86 1057 -139
850 1062 247
1980 2726 145
1579 4163 64
104 3498 -18
1998 2914 124
1382 3182 -69
4020 4677 229
1505 4962 -127
2850 3096 -23
3168 4891 138
2349 2697 117
3931 3957 135
1852 4542 112
1875 2659 34
1880 4428 -139
2443 3154 -73
1283 4046 240
1108 4389 150
3085 4962 -6
2538 4000 5
2215 4470 83
169 3964 -26
555 4019 143
1183 4346 115
3171 4896 -100
1842 4181 89
3869 4894 -150
1232 1679 119
795 2909 -1
139 4758 95
4449 4885 -51
1658 4890 -33
1910 4195 -107
1272 4928 214
3048 3724 -95
206 3667 -122
4070 4958 -2
1418 3906 -128
2901 4321 197
941 2811 89
775 3321 -122
1544 4448 57
725 2106 46
523 2558 215
110 4166 -26
4113 4974 249
3712 4059 92
778 1843 163
3534 3875 3
1197 4016 182
93 4165 183
279 4257 241
1236 4416 150
1102 1138 171
1439 2723 131
427 1691 20
372 2262 184
454 3497 36
1488 4914 141
757 1314 249
1514 3432 -15
3153 4591 193
3631 4744 130
1109 2681 190
346 361 85
251 1341 169
986 3743 33
1259 1505 -110
442 2816 -32
911 991 81
1278 3969 -107
1613 4881 117
309 4068 -77
2206 3669 -50
1903 2719 197
73 2415 154
2274 3243 131
618 1682 144
3671 3903 53
1762 2633 97
372 3163 59
2307 3890 51
122 741 -22
829 1446 169
1057 2629 224
1762 1862 185
2852 4901 105
2625 2931 17
154 2962 -56
2509 3598 -143
3099 4525 -84
126 3630 -112
1672 3671 -2
778 1915 16
1143 1857 142
1873 4393 108
4417 4581 -75
1680 3771 -60
3225 4107 -129
530 4815 -39
922 4668 122
3045 3653 88
3760 3854 -72
867 4553 55
2233 3526 211
1161 2214 235
423 3105 31
3668 4414 -94
731 4093 -116
943 1745 61
4426 4655 -126
3002 4169 58
1802 2848 24
2918 3636 56
1654 3553 103
4491 4564 45
1014 1782 -68
1757 4115 -1
600 2395 233
625 1130 92
1768 3141 -82
3179 3891 -120
1624 3515 185
717 1192 8
2173 4496 180
586 4307 121
30 1609 31
2257 2645 83
1496 2588 -25
1618 4819 -144
1377 2820 55
288 1952 -103
837 2881 -108
2782 3895 -56
846 4322 15
699 4349 134
1710 1989 155
2100 4418 12
1595 4501 -102
1001 4584 144
2688 3608 142
2576 3562 21
2397 4119 -82
160 2594 225
4632 4903 135
974 4390 -140
3335 4590 231
2029 3241 -6
1338 1627 211
935 4596 -1
2576 4765 62
1548 1805 172
3124 3309 -92
682 992 190
1321 4174 64
2334 4882 -118
1683 2245 204
2095 3286 65
878 1746 -117
2860 4775 117
749 3577 37
1452 3925 2
3534 4628 236
3612 3862 2
3465 4782 14
225 257 13
264 646 -18
1645 3641 177
1011 2262 -38
778 4661 16
124 2438 41
626 3160 88
1506 4121 104
1097 2335 20
1397 4232 -68
1184 3181 -96
570 3822 162
84 682 13
2848 3368 5
2251 4445 67
566 4853 88
767 4433 156
619 1126 -113
258 4855 -39
2546 2980 14
854 935 140
1635 2665 -135
2917 3492 118
2726 4160 171
3594 4195 -113
1072 3455 162
1477 3880 161
3632 4820 240
584 2145 183
803 4379 70
1936 3824 -131
1946 4490 -27
106 4084 84
2746 2786 -29
1273 4503 159
1437 4964 -46
1516 4372 -104
1259 3902 192
1062 1516 -94
3036 3883 44
1496 2712 50
1761 4066 196
1830 2983 210
3405 4481 -27
1516 2936 126
3060 3138 202
122 4395 86
193 3148 235
2311 3584 241
104 2971 146
62 4870 -75
787 3960 197
2213 4205 -150
1461 3302 -88
2653 4233 7
27 553 -58
785 1511 -12
1642 3077 -17
1775 2662 21
134 3702 230
1540 3079 211
2676 3504 21
15 1133 183
33 3765 106
2878 3752 71
2065 4739 141
26 4536 2
219 2166 1
3062 4118 137
1105 3953 21
2443 2479 207
195 4368 -118
2076 3445 180
3650 4828 -1
1161 2467 27
2351 4496 245
893 3437 -53
2972 4364 156
1301 1766 -148
1916 2867 156
4422 4959 172
250 3407 198
1282 4837 -20
366 3914 190
447 3817 14
917 1979 36
1305 4605 179
3712 4667 95
288 2453 70
18 3909 47
787 1209 -102
299 854 100
3395 3794 50
3791 4164 3
29 2497 -35
2935 2951 -85
368 1506 72
2190 4753 -54
4635 4940 121
515 2494 -71
3276 4023 30
478 2085 48
622 2400 -148
2542 3539 102
3731 4469 249
924 4921 -90
336 681 -26
3174 4554 243
393 3629 189
1516 2087 -123
2737 3976 192
955 4401 41
1741 2640 -36
1231 1248 138
2446 4880 2
3293 3785 111
891 4014 106
2307 3483 -147
416 1564 81
3618 3872 216
1760 3004 -69
2548 3188 -76
396 1608 145
585 1942 136
399 3820 109
2939 4693 237
2602 4099 -126
2884 4290 162
742 4345 125
1814 3241 21
4025 4340 230
2718 3273 144
1266 3324 98
516 3785 -135
3524 4148 19
1573 4444 176
291 4060 -83
3619 4137 196
94 2939 208
159 2366 85
2155 3541 -135
453 1131 -2
1102 3396 154
215 4683 17
1464 3225 129
2972 4902 -40
1459 2092 -14
3192 3841 -42
2561 3074 144
1294 2655 245
673 3338 137
1916 4293 -134
697 4105 248
778 3467 28
1369 1481 152
1566 2615 5
705 4254 -147
1262 2902 39
829 1481 -145
1965 4793 -3
1728 1967 33
3304 4983 -107
735 2794 -142
2396 3393 -122
620 3030 162
4382 4897 -103
3090 3896 243
2279 2507 196
883 1366 194
202 3416 143
342 4992 -61
1490 4320 233
537 2304 199
340 692 51
1097 4086 4
2048 3699 92
1997 3258 190
2042 2375 -18
718 4951 56
3333 4230 66
1511 1783 -108
1996 4927 160
637 1693 109
1044 2519 -149
2166 4908 81
2395 4841 192
2117 2677 161
2283 2802 -12
746 2438 43
3376 4082 114
532 4033 -91
2400 4724 140
1639 2813 -55
1284 2969 -18
2761 4232 201
2603 2688 55
2778 4954 -2
235 3807 89
87 4275 233
391 1656 237
1591 2389 -94
598 3422 -124
1804 3521 -115
1239 4461 -89
878 2072 -106
2833 3542 -134
2458 3569 -29
88 3744 -99
1547 3852 81
1260 3027 196
1292 2307 -63
2899 3237 -47
2191 4737 152
1287 2447 -146
304 3391 134
715 2978 -93
2708 4960 -121
828 4192 -21
1987 2105 109
2500 3718 -97
3914 4616 137
1334 2389 -10
1452 4645 245
499 2423 198
1103 3015 -56
336 3176 165
477 4329 245
3890 3978 170
462 4642 211
847 4409 52
4238 4263 -100
3105 4320 -144
1116 2724 220
3668 4952 176
3562 3567 37
2165 3237 -49
1050 3678 -114
838 1920 -54
3120 4181 -125
262 1848 138
575 3505 144
387 4846 -61
803 4748 -76
2713 4217 241
2441 3985 -92
1086 4501 -111
3098 3425 248
3907 4720 35
1502 4558 26
413 3245 86
3322 3851 70
2483 2548 128
489 1450 -86
1691 3531 147
444 3545 102
4601 4750 -43
4100 4908 22
487 874 132
154 3652 15
758 2071 -98
2013 2731 138
4491 4998 -112
3992 4775 19
1610 4338 4
2203 3075 -105
2862 4037 209
1114 2754 120
2245 3392 237
2496 4130 -49
3343 4528 208
4005 4956 219
896 983 129
3270 3591 59
1377 2005 -51
1790 4705 -65
680 2929 -54
125 393 193
272 1767 87
842 2664 165
2226 2754 -3
463 525 179
1814 4202 -94
3105 4400 20
2301 3492 58
1411 4726 -114
8 4138 -22
347 2463 -97
410 606 208
1000 3553 91
793 3880 231
2568 2948 136
1340 2216 -132
2175 3676 -33
2298 3391 -85
2578 4606 -77
1355 3984 97
1384 4848 202
3126 3762 -33
4128 4541 193
1506 4188 242
1528 2293 149
4384 4887 172
1727 4994 -67
3379 4641 -62
1076 3042 103
904 4506 29
1457 1824 48
745 3915 114
1368 1972 -57
1696 2093 -109
2259 2523 -111
408 3942 164
2613 2720 68
388 3385 87
203 1832 61
967 4890 110
3727 4394 58
40 1865 136
1261 4925 -108
2588 3969 -118
688 2891 20
2437 3847 205
328 1640 146
449 3229 197
1202 1577 4
1349 4595 -99
311 4174 -65
2946 2985 165
2864 4288 68
168 2576 -97
3724 3750 -86
4092 4284 -86
99 2569 -133
3962 3991 -11
285 1532 -145
451 3563 -144
1587 2081 122
3033 4899 68
1482 2214 168
1728 2197 -118
4771 4866 65
421 4538 213
2877 3722 -81
122 1791 -26
1909 1991 -12
251 3223 -14
2848 3122 63
1683 4281 -50
312 1254 -106
403 1104 -101
470 2133 154
858 2597 0
3050 3913 83
3210 4612 53
2238 4994 1
316 3685 8
726 948 121
2157 2259 97
1629 3096 -44
1148 3858 -134
1767 2393 156
2004 3794 75
3021 4193 105
887 4478 103
1406 3600 171
802 4856 2
1181 1788 -116
1113 3769 174
2758 4559 -58
730 4562 -148
1854 2291 -120
216 4424 150
760 4108 164
2444 4319 68
340 421 -34
329 4678 134
4183 4508 86
902 3966 62
1060 4577 1
3107 4644 36
997 1158 60
1199 2488 247
2557 4961 -84
1431 4628 -134
404 1266 107
2937 3210 124
1831 3515 96
34 192 101
2172 2992 117
4689 4773 -110
2494 2966 21
449 3693 -82
3524 4721 199
261 783 -132
2777 4265 75
2728 4505 166
1548 4503 -10
2658 4009 -113
1578 1811 246
376 4261 -126
1477 2902 -129
1406 3382 189
4111 4672 -147
3707 4860 -18
2930 3267 -99
3386 4907 -83
1402 4457 231
197 3929 -111
760 1480 -71
67 2901 183
3853 3904 160
2390 2733 -105
897 4556 151
2777 3766 63
396 2682 37
3616 3984 216
3124 3375 152
955 4777 141
1415 4366 155
413 1965 108
4027 4175 35
2091 3139 152
122 4391 211
1952 3144 -29
3890 4269 143
971 2698 121
583 2558 80
3096 4772 26
2445 4968 59
2190 3120 160
1375 2011 152
430 3100 11
3681 3998 -27
4363 4470 67
2161 2787 -100
1636 1692 83
2980 4492 48
2566 3562 180
3092 3736 90
802 2836 -120
1539 1689 249
3067 4564 -144
2465 3312 -141
4608 4750 -33
2561 3187 122
554 4462 154
433 3694 -97
3448 4040 -16
2295 3543 209
3414 4782 0
1552 1902 118
3238 3412 -97
57 560 -102
304 2642 12
1622 2786 -94
1308 1481 150
1066 2482 -83
514 2712 102
1307 2408 44
3097 3873 210
2873 4731 0
459 786 74
4748 4974 118
1278 1488 -9
1285 3940 -13
4043 4381 85
839 2901 93
1301 1402 127
1025 2955 107
1216 2010 -52
2013 3308 102
685 2902 222
409 3025 -108
224 730 92
1167 3813 158
1334 4798 122
1022 2586 168
4077 4818 -137
2213 2494 39
2108 4354 -98
2249 2546 -118
2280 3748 226
50 553 157
50 3310 -34
365 3566 -3
412 4970 -101
742 1320 5
1045 3297 25
1126 3636 -70
1004 4858 188
140 1606 -139
2191 2226 148
2232 2911 43
1557 1783 223
2505 3315 227
991 3077 -105
3945 4097 241
2282 3265 68
36 2789 110
4418 4776 211
1855 3960 -2
121 2889 99
1671 3466 125
724 2848 7
340 2165 17
1512 1589 -130
2299 2601 153
376 2188 -60
509 2738 167
211 3252 -80
129 3347 112
1765 4124 216
2748 3555 0
795 843 65
689 3679 -62
2868 3635 13
485 4670 -66
3980 4254 -90
1887 1926 -50
2729 4825 70
2832 4097 36
2541 4736 -141
1652 4935 192
1012 1085 109
1854 2444 -91
1078 4057 233
1775 3016 234
1973 3504 56
1309 3542 -68
638 4963 -119
492 2105 -37
612 2266 -134
2891 3634 -94
3766 4921 -51
2022 4202 74
1339 2091 -85
1874 3298 -135
2556 4226 202
629 1250 61
530 4556 225
3667 4972 -148
2011 3861 219
1965 4912 -121
3392 3906 133
4172 4533 -93
1035 3222 82
2913 4947 88
1342 4367 0
1515 2281 -10
461 2806 6
446 2869 169
2344 2794 112
1773 4082 -112
57 156 40
3449 4434 247
242 2720 228
2147 4944 39
1585 2416 -111
1277 1691 105
1326 4018 59
765 3412 88
244 531 196
2973 4834 -98
1344 4763 -86
402 4817 -33
101 3059 40
710 1826 25
1193 4101 63
446 1789 -109
4192 4706 67
1253 2137 233
4479 4788 193
3024 3900 173
1871 3128 220
3367 3483 -16
465 488 195
835 3167 -41
3753 4347 110
3187 3506 -72
62 3543 77
327 1444 -59
589 906 136
2313 3560 -113
1615 3702 139
960 3828 -66
4613 4763 -128
275 3203 85
1223 3882 224
1863 3448 62
3172 4233 156
154 2336 -60
1538 1777 88
25 479 115
545 1564 217
4249 4594 176
3483 4438 -144
130 4558 -137
1438 1875 -16
309 2278 174
1774 2476 -83
4466 4542 150
808 4349 -128
1047 2684 23
3915 4816 82
967 4718 61
3137 4126 99
2650 4423 226
540 2990 -134
1057 1292 -92
1944 4174 -124
2 3045 164
649 4885 -47
361 4511 -110
571 4113 247
1535 3570 -103
114 1841 1
623 2255 245
162 3735 6
3070 4905 94
2565 3491 -104
2486 4476 -18
3182 3444 -129
1966 2939 15
1800 4057 -58
2133 3996 33
1193 2073 155
414 1659 -104
1285 1472 103
782 4111 196
911 1960 149
1965 4705 -14
1465 4854 98
1868 1900 98
1229 3108 -16
1906 3584 229
4106 4564 139
764 2638 52
538 3546 -7
3794 3815 -49
97 1104 207
206 3479 125
3526 4761 102
2143 3649 195
747 3069 209
3050 3250 -139
2952 3756 -120
2543 2879 -148
2804 2944 177
2075 2108 171
2127 3441 205
653 3286 -102
320 1962 39
705 3674 170
601 4792 -38
2430 3714 71
1202 3669 121
911 2708 142
1362 3459 193
156 4939 191
92 1317 -82
2763 3807 112
2232 2891 125
462 3359 212
1663 2938 -90
1975 3613 66
1805 4332 -114
2662 3546 160
255 2343 148
389 2948 1
3712 4805 195
4103 4145 33
133 3997 245
679 4928 157
1388 2267 -36
837 1277 -44
2129 2625 -10
1493 1742 21
2935 4200 -45
1122 2740 37
268 4409 -67
1664 2899 87
1330 3295 -64
1037 1382 -126
4355 4686 -118
10 2237 133
1839 4941 148
2518 3558 77
421 2264 53
1542 1588 -59
4399 4613 159
228 875 60
2754 2933 53
1606 2995 50
1580 3906 25
172 2205 167
451 3471 141
3661 4582 250
1754 2414 -86
263 2708 -130
1686 1690 179
972 2918 143
4403 4600 163
108 1926 -147
574 1954 106
1826 3781 -126
609 4567 -121
2943 3921 129
1671 2970 147
1836 2727 1
1708 3099 27
264 4891 -33
2907 3528 101
1851 2976 164
1026 2921 246
1278 2018 131
371 3477 3
492 4888 -33
261 1168 197
2112 3471 -40
1390 1468 152
1427 3071 105
1283 1521 141
859 2345 150
4138 4230 91
2924 4288 36
720 3370 -48
113 3799 -77
698 4261 -141
2007 3403 17
1064 4616 -5
68 2038 -136
1739 4507 241
895 4695 -58
1888 4246 -116
1159 2315 -5
2967 4158 58
2183 4789 -138
3389 3493 169
2831 4192 87
1550 3488 245
3621 3932 191
1074 3047 -72
913 4630 -37
956 1526 89
4380 4733 97
179 4750 -73
2209 2212 -108
393 2954 228
419 4946 103
1270 3440 150
844 3461 161
245 4742 -3
6 4762 1
3157 4525 -21
2695 2757 -91
3775 3916 -64
1275 1933 94
1221 3258 173
4508 4549 -142
731 3839 106
2043 4118 132
474 1660 29
263 1791 -48
208 1185 -96
549 4740 -28
807 4869 15
2271 4522 -35
1662 2247 -71
3480 4153 237
3063 4333 -137
1099 1494 151
16 1597 50
1561 4022 126
1745 3112 108
1840 3401 -120
2296 2731 -71
287 2177 -68
2096 3034 -135
216 1784 -27
3321 4201 135
848 3852 42
824 3313 -17
3823 4507 116
2369 2461 203
1351 3034 -39
1546 3437 89
201 1515 115
3263 4294 50
3068 3990 102
3038 3811 125
269 3324 238
604 1459 -1
3831 4613 210
1706 2631 -142
1636 4594 150
1148 3372 238
1237 2037 152
1462 3180 159
390 2273 -69
1159 3868 -135
2638 2853 -47
3335 3813 168
80 3428 134
3277 4037 -148
3968 4496 249
1293 4283 113
3957 4431 8
104 3479 47
2772 4724 -121
86 4464 -145
3670 4467 -79
2712 4219 -87
538 2733 66
2179 2775 216
1788 4347 22
674 1108 -102
615 741 120
1407 4516 45
410 2486 44
390 756 -80
323 3511 237
3789 4510 -20
2628 3530 -83
815 1795 99
200 4088 -45
1175 1624 -33
3231 4615 -22
2429 2840 180
162 1079 -7
18 2011 222
453 501 194
1724 3529 27
3748 4899 193
814 2262 -48
2943 4182 73
770 3763 -61
2107 3324 -122
273 4236 142
664 2148 -107
1073 2638 202
1137 2981 25
1311 1567 -20
2850 3140 -100
965 1161 84
1076 3436 -95
1752 2915 195
380 1774 63
683 2569 127
203 4855 159
2595 3802 -30
4139 4834 15
1861 3028 163
971 3072 155
1046 4079 147
944 3282 196
1710 3196 -51
2254 4472 -135
2674 3047 101
2958 3797 -141
1303 2615 22
2891 4884 89
2693 4788 -141
1817 3744 161
796 965 163
776 1953 -46
981 3044 1
1131 4336 53
117 197 233
1347 4577 -127
2226 4187 250
613 4886 96
3418 4775 177
855 4281 211
1516 4722 218
1292 1320 229
3484 4448 225
3321 4012 182
4470 4969 49
838 3207 -74
2041 2156 -32
2429 3254 87
413 4483 227
636 4634 217
3601 3851 -33
738 3739 61
1130 1632 239
174 3196 197
2041 3715 53
2442 3990 238
670 2995 192
479 1316 112
540 707 122
1531 2106 -13
913 1882 -145
1087 1948 -111
3879 4991 175
704 4268 -144
4415 4720 81
2621 4963 -120
2504 3043 62
1908 4341 15
612 4458 164
725 3589 72
1729 4873 -140
106 4379 68
422 2207 5
1081 1829 -59
2669 3722 -4
2620 4683 126
683 781 -119
970 1133 -40
2670 4582 38
1544 2921 140
1409 3448 -142
1571 2453 228
1011 1974 211
1558 4593 -101
637 4154 -56
2332 4924 128
822 2346 146
390 1036 -36
1357 1968 56
2284 3830 -103
2010 2340 -138
1308 4687 84
259 2622 101
2788 2854 235
659 2889 -43
1902 3657 -97
1490 3473 -106
758 2214 199
3687 4513 -75
855 1212 114
2281 3895 130
2534 4036 212
2684 4208 -111
601 997 -28
941 3775 211
2012 4930 13
3063 3194 -28
976 1770 -43
1779 4755 -121
2130 2323 110
997 2158 217
4227 4541 185
1561 2007 130
3459 4235 180
2035 3199 -25
657 3422 -28
662 2201 -31
1960 2993 198
95 1340 86
1274 4492 196
869 4854 220
1860 4329 244
1768 3964 -127
3594 3755 -123
2066 3106 -140
2750 3084 45
355 699 78
219 2295 94
218 239 -125
606 2560 -52
287 4148 -65
3666 4144 -78
3312 4766 -150
3935 4065 30
2462 4085 192
1204 1369 101
2279 3073 102
3927 4970 86
534 4910 203
167 2452 210
1649 2586 152
1283 1322 -9
2238 3804 240
4473 4779 -145
1162 4852 193
713 1821 32
3661 4995 203
3613 3784 172
212 4909 -132
457 2382 110
563 1359 184
2274 2960 -47
93 1576 -133
139 4019 -47
259 1141 4
997 2808 76
2881 3444 49
2844 3903 -120
2815 3342 -27
1204 4711 239
1150 3563 31
1406 4771 21
90 4855 170
1199 2786 59
628 1557 59
2362 4430 18
1359 4895 -58
938 3225 -122
231 1601 81
1907 4133 211
4107 4941 85
2733 4022 -143
2704 4691 -132
426 2601 124
1857 2132 -119
3089 3975 -60
2869 3488 3
2183 4452 -19
1869 2468 216
1042 4854 -26
2070 3312 -29
3898 4785 20
2216 3921 191
2114 3737 -37
1358 1466 38
1161 2168 83
978 1962 98
895 1223 48
483 4749 -74
848 4963 -149
775 3319 140
3290 3722 33
1518 2307 45
2750 4543 -61
817 1008 22
309 2189 49
287 337 35
1808 4475 -2
4161 4726 128
1576 3219 177
84 602 -109
2772 3460 207
485 4059 187
1156 2585 -47
2355 3491 69
1258 4373 -51
2349 3931 -23
1181 2881 -73
1497 1665 214
3907 4257 -150
30 87 15
1363 4228 -30
1404 1995 -88
2077 4783 -17
953 2504 -93
1772 2878 166
764 4076 71
307 2928 72
654 3816 5
2034 4803 117
2883 3605 72
751 2408 2
578 2353 110
862 1892 48
1270 3528 158
1908 4871 -111
388 3616 -33
200 2720 246
293 3208 3
1652 4168 -8
2133 4262 -46
242 1475 200
919 4736 -82
90 2078 70
1675 3845 -17
1385 2420 71
1516 4601 -140
1337 1906 -64
1413 2513 37
1946 3072 190
1661 2363 190
494 4986 196
4258 4816 11
1042 2209 68
383 2639 150
2055 3757 24
4509 4814 -14
379 2995 -86
281 2994 219
732 1410 111
1768 4647 -73
388 3448 92
456 689 233
253 2968 240
1263 2147 -23
1287 3029 -7
118 3168 -40
1035 3768 25
3326 3372 -38
2062 3613 17
59 4186 -65
3389 3904 239
3283 4735 57
55 211 192
2531 3192 -124
2291 4076 217
1938 3767 -36
176 3416 -61
3074 4352 114
898 3361 160
411 1624 -16
3535 4879 -28
4479 4916 -148
2512 3316 -135
816 2763 13
1540 4709 69
1523 4740 106
554 2191 79
230 1586 115
3428 4945 208
667 1087 -47
763 2815 -56
907 3492 -102
1366 3348 -95
2885 3423 135
2905 4566 -92
110 1845 214
670 1055 -25
2024 2520 -138
4032 4037 -108
1382 4506 -86
1788 4685 230
2267 4454 196
977 4976 158
3488 3745 -96
3033 4274 19
1361 1703 223
3809 4144 -114
1506 2609 217
1989 2185 -146
1196 3751 107
2060 2073 69
4678 4996 41
2212 4082 43
1979 4167 -87
395 1500 170
2307 3406 50
2910 4147 241
633 3150 134
1294 1425 59
2420 4013 -82
1290 4814 102
3199 4473 78
690 2362 229
159 2257 181
55 1195 0
1996 2722 110
2871 4778 222
3023 4301 77
1530 3684 -130
2769 4093 225
2836 4107 -26
3259 4510 218
955 1250 -39
2372 4236 -144
439 2555 -87
3564 3976 -50
1824 2817 36
2331 4684 6
1067 1908 -21
1016 3326 125
2075 3716 -74
2877 2952 40
817 3890 64
3340 3904 64
2406 3802 202
1645 2406 94
2031 4503 191
1783 4018 -42
71 1455 -72
2410 3302 -44
2057 3749 -69
433 4758 -73
994 2121 41
3386 4646 220
1209 1606 210
1880 3878 62
1225 4728 155
454 3715 223
524 3000 -63
2497 3197 186
619 4118 -149
452 3204 0
1934 2652 132
3222 4466 -11
2240 2770 218
1890 4185 94
146 165 -122
1281 2948 -121
3051 4329 151
1925 2996 247
3388 3761 50
1066 3903 -63
599 1005 160
1682 3451 -13
2928 3674 93
1961 2041 154
738 3593 -38
3228 4840 -117
310 2337 51
606 4195 -14
1257 2471 -74
1220 1825 -67
220 984 141
2542 4034 -37
3718 4406 -1
3653 4695 222
1247 3712 153
1217 1366 -138
2133 4406 -97
1083 2425 -38
1695 4829 -142
1899 2824 -101
2064 2069 89
1706 2672 110
879 4582 163
671 3509 199
820 2062 120
11 2363 210
660 4068 60
2779 3914 66
87 4509 91
2778 4704 143
393 4517 -146
1934 2004 -131
839 1847 172
2596 4019 89
2226 2323 167
2329 2850 239
2873 4950 153
935 2717 58
20 1569 141
1562 3144 -9
2467 4829 2
2690 4435 181
3131 4055 -59
2942 4740 201
2572 3686 -75
690 3559 16
1833 4988 75
3555 3723 146
3139 4939 1
356 2527 129
157 1272 201
4784 4820 -115
477 1277 -29
89 4238 -50
540 3442 110
1603 4173 -44
1665 3017 -89
561 4091 -48
1450 2060 129
2847 3474 230
3646 4022 -123
502 4771 -5
4180 4584 89
1837 2271 50
4235 4570 108
1521 1906 -19
176 3761 -55
1290 2014 57
584 4998 195
1012 4671 -66
1747 4335 237
272 3556 -135
50 2831 52
2086 3315 56
177 4507 119
2945 4747 185
4098 4222 -91
4800 4848 230
492 1531 145
19 991 -36
1466 4885 70
3072 3236 57
4611 4803 -134
2362 3835 -126
1050 4155 24
1879 4660 -83
197 3956 -52
1117 3685 -65
2849 3309 206
2529 4157 178
1458 4747 246
1338 1524 101
865 1240 -99
837 4475 -126
828 2083 -126
1532 4036 73
407 2067 -24
2340 3440 24
3468 4062 -72
671 1896 52
2815 4466 81
